feature_1,feature_2,spearman_rho,abs_rho
t_const_750,t_hml_250,0.36370275213008807,0.36370275213008807
t_const_750,t_hml_180,0.3606954502671329,0.3606954502671329
r2_120,ir_p1y,-0.36025980820225345,0.36025980820225345
t_mkt_750,t_umd_250,-0.36021356403688704,0.36021356403688704
t_mkt_180,t_umd_120,-0.3598294048485117,0.3598294048485117
const_180,ir_p3y,0.3596223539910999,0.3596223539910999
t_const_250,r2_120,-0.3575838206467517,0.3575838206467517
const_250,r2_90,-0.35726852542016074,0.35726852542016074
t_hml_90,ir_p1y,0.3572454052977578,0.3572454052977578
t_umd_120,sr_p1y,0.35582936031998613,0.35582936031998613
t_mkt_90,ir_p1y,-0.35494637868817,0.35494637868817
t_mkt_250,sr_p3y,-0.35270109389446924,0.35270109389446924
t_hml_120,ir_p1y,0.3465448254114988,0.3465448254114988
const_250,r2_120,-0.3460460150860671,0.3460460150860671
t_const_120,t_umd_250,-0.34483985887775853,0.34483985887775853
r2_180,t_umd_120,-0.3441804641391121,0.3441804641391121
t_const_120,t_umd_750,-0.34078099281926333,0.34078099281926333
t_const_250,t_smb_750,-0.34070475809211953,0.34070475809211953
r2_750,sr_p3y,-0.3396910002595917,0.3396910002595917
const_120,t_umd_750,-0.3381484917129029,0.3381484917129029
t_hml_90,sr_p3y,0.3380122822136309,0.3380122822136309
t_hml_180,ir_p1y,0.3368238967645469,0.3368238967645469
t_mkt_120,t_umd_90,-0.335694418659386,0.335694418659386
t_mkt_750,sr_p1y,-0.3356455266493508,0.3356455266493508
t_umd_180,ir_p3y,0.3335977124209836,0.3335977124209836
const_750,t_umd_250,0.332821455453515,0.332821455453515
t_mkt_120,ir_p3y,-0.3319408853587075,0.3319408853587075
r2_120,t_smb_750,0.3299683433704714,0.3299683433704714
t_umd_90,ir_p1y,0.32782887115796083,0.32782887115796083
ir_p3y,sr_p6m,0.32413577439758484,0.32413577439758484
t_const_250,r2_180,-0.3235241348949527,0.3235241348949527
t_hml_750,sr_p1y,0.3224060285517935,0.3224060285517935
t_mkt_180,ir_p3y,-0.32072137570219283,0.32072137570219283
t_const_750,t_umd_250,0.32039927830421494,0.32039927830421494
t_hml_250,t_umd_250,0.3185463571814927,0.3185463571814927
const_120,t_umd_250,-0.3183806058466033,0.3183806058466033
t_smb_750,t_umd_750,0.3180051478186195,0.3180051478186195
t_smb_120,sr_p1y,-0.31795040184716233,0.31795040184716233
t_smb_90,sr_p6m,-0.31680145213571226,0.31680145213571226
t_const_90,t_umd_250,-0.3167835776474484,0.3167835776474484
t_const_180,r2_90,-0.31619014192294115,0.31619014192294115
const_250,r2_180,-0.3161775493887636,0.3161775493887636
t_hml_250,t_umd_180,0.31564102303869485,0.31564102303869485
const_180,r2_90,-0.3156094121694373,0.3156094121694373
t_hml_750,sr_p3y,0.3126287337371371,0.3126287337371371
r2_90,t_smb_750,0.3123633815037032,0.3123633815037032
t_mkt_120,ir_p1y,-0.3118985209805209,0.3118985209805209
t_const_250,t_umd_120,0.3118370843932516,0.3118370843932516
t_umd_750,ir_p1y,-0.311731548750243,0.311731548750243
t_const_250,t_mkt_90,-0.3102901745465148,0.3102901745465148
const_250,t_smb_750,-0.3091449144668409,0.3091449144668409
t_smb_90,sr_p1y,-0.3086209697504496,0.3086209697504496
